,ParentProductNumber,ParentProductNumberSubs,prdictProbaMean,prdictProbaStd,countRows,rankMeanAndStd
991,7296073378891,7290101980919,0.518344464826467,0.177484992652181,15,3
992,7296073382355,7296073382416,0.88436166315902,0.0528366450199105,12,1
993,7296073382355,7296073413769,0.855191756432907,0.11288746287505,42,2
994,7296073382355,7296073237631,0.860552376975172,0.144909392473087,77,3
995,7296073382386,7296073413721,0.890063959579874,0.0451327461360489,12,1
996,7296073382386,7296073237655,0.872091080217705,0.114745333681586,52,2
997,7296073382386,7296073237631,0.834885866668495,0.14676144283249,30,3
998,7296073382416,7296073237631,0.779889031949088,0.244096239900493,32,1
999,7296073382416,7296073413769,0.773147745529707,0.268377973468898,9,2
1000,7296073382416,7296073382355,0.740662748237258,0.321042966675349,104,3
1001,7296073384137,7296073384144,0.91738168730536,0.0201645820012727,15,1
1002,7296073384137,7296073220176,0.917971945405011,0.0274195739695627,7,2
1003,7296073384137,7290016408294,0.879772269483853,0.0274724161402728,33,3
1004,7296073384144,7296073384137,0.919600243675454,0.0407740057964527,19,1
1005,7296073384144,7290016408294,0.87223060794903,0.0399336182598125,40,2
1006,7296073384144,7296073220176,0.895472822630391,0.105357382788768,8,3
1007,7296073388531,7296073378891,0.841262113942102,0.277092336773486,16,1
1008,7296073388531,7296073388548,0.786079279779184,0.3134301506663,6,2
1009,7296073388531,8000500026731,0.418688732577565,0.0826305941871024,7,3
1010,7296073388548,7296073378891,0.832472753420112,0.258292982438443,32,1
1011,7296073388548,8002267014945,0.523713253633335,0.0351624057096787,4,2
1012,7296073388548,7290101980919,0.475672525238858,0.180550898003221,11,3
1013,7296073388821,7296073415039,0.460766527865772,0.111864045196163,3,1
1014,7296073388838,7296073415039,0.645362322028433,0.102563163355445,3,1
1015,7296073388838,7296073388845,0.618638707143996,0.137444399582611,4,2
1016,7296073388838,7296073388852,0.475987844454691,0.196862485586096,19,3
1017,7296073388845,7296073415053,0.753272632304007,0.0221963476435004,3,1
1018,7296073388845,7296073388838,0.655498188553534,0.201155964232997,18,2
1019,7296073388845,7296073415046,0.625660747579757,0.121187862485533,7,3
1020,7296073388852,7296073388821,0.844016219323502,0.0563441039721096,3,1
1021,7296073388852,7296073388838,0.795476603078465,0.136909374696163,20,2
1022,7296073388852,7296073415053,0.681318054219548,0.0839307976937544,3,3
1023,7296073389163,7290015139229,0.769167407618973,0.0353532989903949,7,1
1024,7296073398509,7290103402815,0.808135007539849,0.0752949981468377,44,1
1025,7296073398509,8000500071083,0.745307417554566,0.169791937698553,38,2
1026,7296073398509,80177616,0.668368639613088,0.092193123099473,7,3
1027,7296073403234,7296073403241,0.782339622421467,0.00612060346365309,11,1
1028,7296073403241,7296073403234,0.788801026373279,0.00963640938850303,8,1
1029,7296073403241,7296073407737,0.606753343905796,0.0571765721357243,3,2
1030,7296073405450,7290016408294,0.613657330494754,0.0124284758467627,5,1
1031,7296073407737,7296073403234,0.640347958671948,0.170419933462056,5,1
1032,7296073407737,7296073403241,0.58120096733736,0.141864342250835,39,2
1033,7296073413721,7296073237655,0.909528863844409,0.0218748840601928,5,1
1034,7296073413721,7296073382386,0.911007987250352,0.0950293124896647,22,2
1035,7296073413721,7296073237631,0.85654764908894,0.0413907393359974,3,3
1036,7296073413769,7296073237631,0.926787146607654,0.0155332252669491,8,1
1037,7296073413769,7296073382355,0.878077981119908,0.147463441741844,24,2
1038,7296073413769,7296073413721,0.776841776563798,0.254649873999977,17,3
1039,7296073413776,7296073237662,0.631538847648687,0.279603381733734,3,1
1040,7296073413776,8748384,0.559297950433304,0.146952746020981,3,2
1041,7296073413776,7296073237655,0.570355655583513,0.315654636558306,7,3
1042,7296073415039,7296073415053,0.799206932905361,0.0811927374933957,16,1
1043,7296073415039,7296073415046,0.679068407872424,0.241412597991984,4,2
1044,7296073415039,7296073388821,0.630578429170272,0.115951034661403,5,3
1045,7296073415053,7296073415039,0.662884761514586,0.161581735599428,7,1
1046,7296073415053,7296073415046,0.551691986751265,0.23270213757761,4,2
1047,7296073415053,7296073388821,0.455252274212121,0.224621556102632,4,3
1048,7610400014649,7610400085946,0.50382071420723,0.00371224909732399,3,1
1049,7610400014649,7610400074155,0.536578417251821,0.216772338019649,16,2
1050,7610400014649,8690504156543,0.286914122973001,0.0520244998207237,3,3
1051,7610400068505,7610400087537,0.527754556252036,0.197770801436099,11,1
1052,7610400068505,4014400901191,0.410178048873957,0.0963596502905162,3,2
1053,7610400068505,8003340098098,0.392235024021228,0.221364356492135,4,3
1054,7610400070577,3046920029674,0.838191723161552,0.00384634004367427,4,1
1055,7610400070577,3046920010801,0.803847671987773,0.0731993427780881,4,2
1056,7610400070577,7610400091060,0.795849772274591,0.0659826895565261,3,3
1057,7610400074155,7610400014649,0.589449824836871,0.157511553190936,14,1
1058,7610400074155,7290112341631,0.267396090969122,0.0107520353472251,4,2
1059,7610400074155,8748384,0.26646765571885,0.074718603261107,4,3
1060,7610400075770,7610400085946,0.621353128634529,0.217537682475207,33,1
1061,7610400075770,7610400075787,0.471982578719862,0.207770095346754,40,2
1062,7610400075770,3046920010801,0.355228726140896,0.0337507662496321,14,3
1063,7610400075787,7610400075770,0.458972230692163,0.210178619214415,45,1
1064,7610400075787,7610400085946,0.452905585133546,0.264772311556669,47,2
1065,7610400075787,7616500642577,0.345412066146318,0.203553308562422,3,3
1066,7610400085946,7610400075787,0.617167001744439,0.197982185574908,20,1
1067,7610400085946,7610400075770,0.5574718493307,0.210026520569964,20,2
1068,7610400085946,7616500666092,0.386528538613024,0.0230934511484827,5,3
1069,7610400091060,3046920029674,0.712236467670189,0.0920770622278373,11,1
1070,7610400091060,3046920010801,0.696694211792372,0.188236061730029,30,2
1071,7610400091060,3046920028752,0.67753558708496,0.169688364051285,19,3
1072,7613035500877,7613036710879,0.589408941936593,0.352731865323267,6,1
